Date,Open,High,Low,Close,VWAP
2017-02-16,236.42,236.6,235.33,236.22,235.962999
2017-02-17,235.39,236.51,235.39,236.49,235.926636
2017-02-21,237.0,238.15,236.99,237.92,237.714365
2017-02-22,237.48,238.02,237.3,237.78,237.711125
2017-02-23,238.38,238.38,237.0253,237.97,237.824364
2017-02-24,236.93,238.26,236.88,238.26,237.520632
2017-02-27,238.11,238.78,237.82,238.63,238.404961
2017-02-28,238.18,238.42,237.5,238.03,238.049555
2017-03-01,239.86,241.81,239.85,241.22,241.12975
2017-03-02,241.08,241.08,239.7,239.83,240.369225
2017-03-03,239.66,240.11,239.22,239.97,239.694217
2017-03-06,238.99,239.6,238.5,239.27,239.107622
2017-03-07,238.85,239.25,238.26,238.57,238.738654
2017-03-08,238.84,239.09,237.8787,238.09,238.577648
2017-03-09,238.16,238.71,237.22,238.32,238.163355
2017-03-10,239.47,239.52,238.0691,239.15,238.908528
2017-03-13,239.1,239.34,238.73,239.29,239.044355
2017-03-14,238.65,238.7285,237.66,238.44,238.216178
2017-03-15,239.05,240.93,238.78,240.39,239.808848
2017-03-16,240.61,240.7,239.6,240.08,240.07124
2017-03-17,240.37,240.49,239.58,239.59,240.049993
2017-03-20,239.56,239.87,238.8496,239.2635,239.434997
2017-03-21,240.02,240.12,236.07,236.26,237.216405
2017-03-22,236.29,237.1,235.56,236.78,236.41068
2017-03-23,236.51,237.84,236.1,236.52,237.080108
2017-03-24,235.84,236.5,234.43,235.39,235.742524
2017-03-27,233.4,235.38,233.1,235.05,234.463318
2017-03-28,234.73,237.28,234.62,236.78,236.232334
2017-03-29,236.48,237.29,236.2,237.13,237.005191
2017-03-30,236.95,238.01,236.76,237.73,237.608063
2017-03-31,237.37,238.0,237.17,237.27,237.592524
2017-04-03,237.32,237.52,235.3999,236.87,236.50739
2017-04-04,236.47,237.06,236.04,236.98,236.713503
2017-04-05,237.73,238.87,236.05,236.28,237.801972
2017-04-06,236.46,237.5,235.92,236.9,236.806352
2017-04-07,236.62,237.4801,236.12,236.68,236.877034
2017-04-10,236.86,237.73,236.2351,236.85,237.058576
2017-04-11,236.37,236.65,234.81,236.55,235.839839
2017-04-12,236.23,236.42,235.25,235.59,235.720469
2017-04-13,235.09,235.95,234.02,234.03,234.953519
2017-04-17,234.58,236.06,234.36,236.06,235.330668
2017-04-18,235.19,235.96,234.56,235.35,235.304671
2017-04-19,236.01,236.44,234.651,234.94,235.541539
2017-04-20,235.65,237.33,235.26,236.73,236.603632
2017-04-21,236.75,236.7798,235.61,236.13,236.225173
2017-04-24,238.71,238.92,238.12,238.64,238.546891
2017-04-25,239.41,240.47,239.31,240.05,240.084446
2017-04-26,240.05,241.05,239.86,239.95,240.488214
2017-04-27,240.29,240.46,239.48,240.09,240.061789
2017-04-28,240.45,240.45,239.45,239.56,239.788398
2017-05-01,240.19,240.68,239.7,240.22,240.256707
2017-05-02,240.39,240.49,239.82,240.31,240.155709
2017-05-03,239.81,240.26,239.22,240.07,239.834328
2017-05-04,240.37,240.44,239.28,240.23,240.030513
2017-05-05,240.68,241.26,240.2,241.26,240.674883
2017-05-08,241.31,241.45,240.69,241.17,241.090758
2017-05-09,241.5,241.7,240.55,240.99,241.206611
2017-05-10,240.86,241.4,240.66,241.38,241.133326
2017-05-11,240.88,241.08,239.64,240.94,240.478496
2017-05-12,240.61,240.7,240.19,240.57,240.459336
2017-05-15,241.0,241.96,240.97,241.79,241.619974
2017-05-16,242.17,242.2,241.1468,241.59,241.598614
2017-05-17,239.62,240.13,237.24,237.34,238.698485
2017-05-18,237.19,239.23,236.91,238.19,238.079732
2017-05-19,238.81,240.59,238.77,239.86,239.918142
2017-05-22,240.39,241.22,240.33,241.0,240.881263
2017-05-23,241.5,241.7499,241.03,241.52,241.467361
2017-05-24,241.84,242.25,241.46,242.12,241.804324
2017-05-25,242.73,243.61,242.495,243.27,243.235183
2017-05-26,243.08,243.42,242.97,243.23,243.239922
2017-05-30,242.87,243.32,242.7,243.08,243.107851
2017-05-31,243.38,243.43,242.18,242.9,242.736517
2017-06-01,243.47,244.89,243.18,244.89,243.933339
2017-06-02,244.98,245.91,244.635,245.67,245.441282
2017-06-05,245.52,245.8436,245.33,245.51,245.631204
2017-06-06,244.81,245.51,244.67,244.85,245.080264
2017-06-07,245.18,245.48,244.39,245.25,245.078
2017-06-08,245.33,245.89,244.75,245.32,245.264471
2017-06-09,245.67,246.57,243.48,244.94,245.557912
2017-06-12,244.67,244.98,243.93,244.91,244.449421
2017-06-13,245.58,246.19,245.14,246.11,245.829276
2017-06-14,246.43,246.49,244.85,245.84,245.762601
2017-06-15,244.24,245.47,243.92,245.38,244.865098
2017-06-16,245.53,245.54,244.37,245.18,245.09407
2017-06-19,246.35,247.49,246.22,247.39,246.995825
